benchmark,mode,runs,all_correct,selected_modes,warm_runtime_mean_seconds,warm_runtime_stdev_seconds,warm_speedup_mean,warm_speedup_stdev,first_use_speedup_mean,first_use_speedup_stdev,task_count_mean,cpu_mean_percent,serialization_ratio_mean
large_payload,naive,3,True,naive,0.029285186667645274,0.001157400548948861,0.4048918368304039,0.014119917535117139,0.0037633155174883084,0.00023644752285849674,32.0,605.5080184994167,0.010562324413262944
large_payload,optimized,3,True,optimized,0.011852405333532564,0.001128408081167747,1.005745013370207,0.09779186174432399,0.003784317749670306,0.00023896924680796153,4.0,384.60182623621614,0.0518345442604419
large_payload,serial,3,True,serial,0.011847925332403975,0.00024173725901254555,1.0,0.0,1.0,0.0,1.0,103.42806968897452,0.0
load_imbalance,naive,3,True,naive,0.07376486633317351,0.008722516593759696,2.7031089964262036,0.22954639835307797,0.06206467027971519,0.004746950739400158,64.0,409.92424667966515,0.0007612298345014058
load_imbalance,optimized,3,True,optimized,0.06548587200086331,0.003368001825411309,3.0267554170830713,0.06611911542975353,0.06223074159162124,0.004825149916868217,32.0,415.12668646189724,0.0005968270109118075
load_imbalance,serial,3,True,serial,0.19806131166842533,0.005834022855082672,1.0,0.0,1.0,0.0,1.0,98.6051368610574,0.0
mandelbrot,naive,3,True,naive,0.0711854166656849,0.007748184612744219,2.058686320227293,0.1718198637546847,0.045688398936952125,0.003586583877127308,96.0,395.9295744742556,0.006777716611716787
mandelbrot,optimized,3,True,optimized,0.05157717600134978,0.00203095049249788,2.825150952348551,0.03804893098731179,0.04597652716097015,0.0036767558154809817,32.0,296.89357138544705,0.005762870383265533
mandelbrot,serial,3,True,serial,0.14566227000007834,0.00384515491201851,1.0,0.0,1.0,0.0,1.0,75.69800128295981,0.0
monte_carlo_pi,naive,3,True,naive,0.04785121200014449,0.0014084709589521282,3.1094300142177076,0.09984634022463741,0.04702383128389916,0.0042071242777127205,16.0,372.5101242389219,0.000540890935934568
monte_carlo_pi,optimized,3,True,optimized,0.04428163766472911,0.0016572997333777343,3.360365943076969,0.09188991334403025,0.04707668453953281,0.0042101941711484275,4.0,381.9464549804002,0.0005040175431087122
monte_carlo_pi,serial,3,True,serial,0.1488680956669365,0.008845637730856016,1.0,0.0,1.0,0.0,1.0,98.07439766212275,0.0
pairwise_distance,naive,3,True,naive,0.045841443666480096,0.0020162132208912742,0.7223704595344561,0.08712665042621068,0.010467118127971242,0.0014848785581728953,16.0,453.1248766876452,0.010487582113242078
pairwise_distance,optimized,3,True,optimized,0.032678027000656584,0.002550395683028145,1.0100007430582039,0.014210339751801082,0.010509476349368807,0.001481646389767997,4.0,381.09377539647994,0.018543448113507322
pairwise_distance,serial,3,True,serial,0.03301975033415753,0.0028848367402446993,1.0,0.0,1.0,0.0,1.0,99.18327648441182,0.0
prime_count,naive,3,True,naive,0.12816158066683178,0.0046224875247481674,3.2511666361721403,0.12543309979106268,0.12816492719674324,0.006823190855435681,32.0,402.6876747079036,0.0003348754996839202
prime_count,optimized,3,True,optimized,0.12608146733327885,0.007764728972838484,3.3090533814788112,0.17823849819332332,0.1282444179305746,0.006769876911158767,8.0,384.00586248096926,0.00017544713818381372
prime_count,serial,3,True,serial,0.41631273133316427,0.005762461053882514,1.0,0.0,1.0,0.0,1.0,97.94163055065046,0.0
tiny_tasks,naive,3,True,naive,0.4356830063346327,0.03907905239876779,0.2858569838340042,0.0006057166133387582,0.035075019298194905,0.004312640852831989,2000.0,435.61898831349885,0.0022302714168347154
tiny_tasks,optimized,3,True,optimized,0.03936555199955668,0.002609698948801531,3.165007748846518,0.2276207949681743,0.03953980105132976,0.005439073257580104,10.666666666666666,398.2090709744659,0.0012105393519402225
tiny_tasks,serial,3,True,serial,0.12454350099991036,0.011193058108317933,1.0,0.0,1.0,0.0,1.0,208.69578031701656,0.0
word_count,naive,3,True,naive,0.018790861999150366,0.0007323257273792141,1.2652644139793485,0.060736091620230706,0.00757779965240949,0.0006508751514038288,32.0,367.96936272656785,0.011574143128269649
word_count,optimized,3,True,optimized,0.01676761533356815,0.0010778921966798853,1.418907319395809,0.05760597222109403,0.00758242950747614,0.0006489332091037629,4.0,357.0430390291179,0.02607126419419675
word_count,serial,3,True,serial,0.02375333033342031,0.0007546043791488603,1.0,0.0,1.0,0.0,1.0,95.41577419042119,0.0
